Time	Raw_ECG
18000	-12
18001	-17
18002	-17
18003	-17
18004	-18
18005	-29
18006	-13
18007	-26
18008	-19
18009	-34
18010	-16
18011	-12
18012	-5
18013	10
18014	5
18015	24
18016	27
18017	9
18018	4
18019	-13
18020	-27
18021	-39
18022	-45
18023	-45
18024	-42
18025	-49
18026	-37
18027	62
18028	265
18029	358
18030	-44
18031	-205
18032	-140
18033	-88
18034	-38
18035	-42
18036	-47
18037	-45
18038	-31
18039	-50
18040	-26
18041	-21
18042	-34
18043	-26
18044	-7
18045	-19
18046	-3
18047	-1
18048	11
18049	23
18050	17
18051	35
18052	30
18053	53
18054	32
18055	38
18056	44
18057	26
18058	17
18059	11
18060	8
18061	-21
18062	-29
18063	2
18064	-37
18065	-23
18066	-21
18067	-22
18068	-18
18069	-35
18070	-4
18071	-20
18072	-9
18073	-29
18074	-12
18075	-27
18076	-26
18077	-25
18078	-18
18079	-32
18080	-37
18081	1
18082	-40
18083	-44
18084	-18
18085	-34
18086	-12
18087	2
18088	1
18089	-3
18090	30
18091	28
18092	9
18093	-7
18094	-1
18095	-42
18096	-42
18097	-7
18098	-53
18099	-50
18100	-24
18101	-8
18102	193
18103	329
18104	202
18105	-88
18106	-182
18107	-103
18108	-41
18109	-12
18110	-19
18111	-40
18112	-12
18113	10
18114	1
18115	-17
18116	1
18117	47
18118	-20
18119	47
18120	13
18121	23
18122	45
18123	57
18124	56
18125	65
18126	73
18127	80
18128	71
18129	59
18130	67
18131	64
18132	71
18133	27
18134	15
18135	13
18136	4
18137	3
18138	-11
18139	-11
18140	-2
18141	-11
18142	10
18143	-12
18144	-7
18145	-4
18146	5
18147	-2
18148	-12
18149	3
18150	-16
18151	5
18152	-23
18153	-11
18154	-26
18155	-18
18156	-23
18157	-18
18158	-23
18159	-12
18160	-35
18161	-4
18162	17
18163	-7
18164	25
18165	23
18166	12
18167	-8
18168	-16
18169	-22
18170	-45
18171	-52
18172	-52
18173	-42
18174	-55
18175	-38
18176	96
18177	286
18178	320
18179	-85
18180	-202
18181	-145
18182	-84
18183	-31
18184	-41
18185	-37
18186	-38
18187	-20
18188	-39
18189	-20
18190	-24
18191	-8
18192	-9
18193	-9
18194	0
18195	14
18196	6
18197	24
18198	34
18199	31
18200	36
18201	49
18202	47
18203	54
18204	49
18205	39
18206	42
18207	35
18208	15
18209	8
18210	7
18211	-6
18212	-1
18213	-8
18214	-2
18215	1
18216	-3
18217	-7
18218	-3
18219	2
18220	4
18221	-7
18222	-7
18223	-3
18224	-1
18225	-10
18226	-13
18227	-16
18228	-9
18229	-13
18230	-20
18231	-10
18232	-22
18233	-16
18234	-18
18235	-25
18236	-7
18237	-27
18238	-18
18239	-21
18240	-17
18241	-22
18242	0
18243	13
18244	13
18245	23
18246	27
18247	16
18248	6
18249	-14
18250	-15
18251	-34
18252	-35
18253	-44
18254	-45
18255	-49
18256	-36
18257	68
18258	281
18259	369
18260	-54
18261	-197
18262	-132
18263	-68
18264	-31
18265	-35
18266	-27
18267	-32
18268	-17
18269	-29
18270	-19
18271	-17
18272	-12
18273	-6
18274	-4
18275	5
18276	7
18277	7
18278	22
18279	25
18280	29
18281	27
18282	33
18283	34
18284	36
18285	40
